event_id,state,district,canonical_state,start_date,bbox_area_km2,state_area_km2,district_km2,raw_flood_area_km2,adjusted_flood_area_km2,flood_ratio,combined_source,region_total_population,population_exposed,exposure_rate,warnings
E01,Kerala,Thrissur,Kerala,2018-08-08,,38852,2961.8,28.86,28.86,0.0097,S1(cloud),36111000,26824.0,0.0097,
E02,Bihar,Darbhanga,Bihar,2019-07-10,,94163,2293.7,595.97,595.97,0.2598,SITS,131041000,829376.0,0.2598,
E03,Assam,Morigaon,Assam,2020-05-25,,78438,1556.5,1.36,1.36,0.0009,NDWI,36493000,633.0,0.0009,
E04,Telangana,Hyderabad,Telangana,2020-10-13,,112077,178.6,1.61,1.61,0.009,NDWI,38499000,553.0,0.009,
E05,Maharashtra,Raigad,Maharashtra,2021-07-22,,307713,6912.8,0.0,0.0,0.0,NDWI,128659000,0.0,0.0,ZERO FLOOD AREA after combine
E06,Uttarakhand,Chamoli,Uttarakhand,2021-02-07,,53483,7838.3,1705.98,1705.98,0.2176,SITS,11913000,379996.0,0.2176,
E07,Uttar Pradesh,Bahraich,Uttar Pradesh,2021-08-10,,240928,3157.8,55.21,55.21,0.0175,NDWI,241265000,55287.0,0.0175,
E08,Assam,Cachar,Assam,2022-06-15,,78438,3806.3,226.51,226.51,0.0595,SITS,36493000,105383.0,0.0595,
E09,Karnataka,Bengaluru,Karnataka,2022-09-05,,191791,2187.3,14.71,14.71,0.0067,NDWI,68679000,5268.0,0.0067,
E10,Odisha,Balasore,Odisha,2022-09-16,,155707,3697.1,1399.19,1399.19,0.3785,SITS,46953000,421922.0,0.3785,
E100,Manipur,Imphal West,Manipur,2017-06-04,,22327,489.0,,,,none,3289000,,,NO COMBINED FLOOD: source=none
E101,Manipur,Imphal West,Manipur,2025-05-31,,22327,489.0,51.61,51.61,0.1055,SITS,3289000,7603.0,0.1055,
E102,Meghalaya,West Khasi Hills,Meghalaya,2022-05-17,,22429,5255.6,0.36,0.36,0.0001,NDWI,3417000,55.0,0.0001,
E103,Meghalaya,West Khasi Hills,Meghalaya,2024-05-01,,22429,5255.6,0.15,0.15,0.0,NDWI,3417000,23.0,0.0,
E104,Meghalaya,West Khasi Hills,Meghalaya,2024-10-04,,22429,5255.6,1.42,1.42,0.0003,NDWI,3417000,216.0,0.0003,
E105,Meghalaya,West Khasi Hills,Meghalaya,2025-05-31,,22429,5255.6,4.43,4.43,0.0008,NDWI,3417000,675.0,0.0008,
E106,Mizoram,Serchhip,Mizoram,2025-05-31,,21081,1362.0,2.04,2.04,0.0015,NDWI,1264000,122.0,0.0015,
E107,Nagaland,Wokha,Nagaland,2016-04-22,,16579,1629.5,,,,none,2279000,,,NO COMBINED FLOOD: source=none
E108,Nagaland,Wokha,Nagaland,2017-06-04,,16579,1629.5,,,,none,2279000,,,NO COMBINED FLOOD: source=none
E109,Nagaland,Wokha,Nagaland,2018-08-07,,16579,1629.5,0.42,0.42,0.0003,S1(cloud),2279000,58.0,0.0003,
E11,Himachal Pradesh,Mandi,Himachal Pradesh,2023-07-08,,55673,3951.3,1.61,1.61,0.0004,NDWI,7555000,218.0,0.0004,
E110,Nagaland,Wokha,Nagaland,2022-05-17,,16579,1629.5,1.35,1.35,0.0008,NDWI,2279000,186.0,0.0008,
